GRAPH, WEIGHT, TIME, NODE
berlin52 , 18969 , 60.1544 , 52
burma14 , 3323 , 3.24265 , 14
ch150 , 50722 , 60.0275 , 150
d493 , 113054 , 60.3104 , 493
dsj1000 , 5.55855e+08 , 62.4263 , 1000
eil51 , 1119 , 60.1469 , 51
gr202 , 56788 , 60.0334 , 202
gr229 , 177960 , 60.0447 , 229
kroA100 , 175706 , 60.0658 , 100
kroD100 , 154264 , 60.0785 , 100
pcb442 , 216940 , 60.2151 , 442
ulysses16 , 6859 , 17.7527 , 16
ulysses22 , 8649 , 60.4646 , 22
