GRAPH, WEIGHT, TIME, NODE
berlin52 , 22205 , 0.0049732 , 52
burma14 , 4562 , 0.0003352 , 14
ch150 , 52814 , 0.0907235 , 150
d493 , 113549 , 2.71099 , 493
dsj1000 , 5.57634e+08 , 18.3999 , 1000
eil51 , 1308 , 0.0044485 , 51
gr202 , 58150 , 0.204708 , 202
gr229 , 179819 , 0.273691 , 229
kroA100 , 191387 , 0.019282 , 100
kroD100 , 170990 , 0.0169247 , 100
pcb442 , 221440 , 1.91141 , 442
ulysses16 , 9665 , 0.0002735 , 16
ulysses22 , 12198 , 0.0004979 , 22
