GRAPH, WEIGHT, TIME, NODE
berlin52 , 18923 , 180.408 , 52
burma14 , 3323 , 2.7007 , 14
ch150 , 50247 , 180.104 , 150
d493 , 112485 , 180.238 , 493
dsj1000 , 5.55707e+08 , 181.608 , 1000
eil51 , 1110 , 180.579 , 51
gr202 , 56641 , 180.069 , 202
gr229 , 177960 , 180.051 , 229
kroA100 , 175161 , 180.138 , 100
kroD100 , 152945 , 180.146 , 100
pcb442 , 216360 , 180.198 , 442
ulysses16 , 6859 , 16.4042 , 16
ulysses22 , 8110 , 181.316 , 22
