GRAPH, WEIGHT, TIME, NODE
berlin52 , 19023 , 30.0719 , 52
burma14 , 3323 , 2.94176 , 14
ch150 , 50798 , 30.0124 , 150
d493 , 113086 , 30.285 , 493
dsj1000 , 5.56652e+08 , 32.0982 , 1000
eil51 , 1144 , 30.0762 , 51
gr202 , 56939 , 30.0268 , 202
gr229 , 179077 , 30.0357 , 229
kroA100 , 177460 , 30.0275 , 100
kroD100 , 157467 , 30.0296 , 100
pcb442 , 218617 , 30.2437 , 442
ulysses16 , 6859 , 17.6713 , 16
ulysses22 , 8649 , 30.2735 , 22
